[u'winterblues', u'wallpaper', u'AGADesign']point(42.3578,-71.0617)  02/23/2017
[u'PalmillaBeach', u'nowplaying', u'EltonJohn', u'cubevenue']point(27.7981963,-97.0901403)  02/23/2017
[u'moogieandbashadventures', u'mybabies']point(35.20612,-80.861324)  02/23/2017
[]point(41.7379,-111.831)  02/23/2017
[u'stilts', u'custompainting', u'clifbar']point(40.032,-82.4357)  02/23/2017
[u'hiring', u'Hospitality', u'Veterans', u'Job', u'Jobs', u'CareerArc']point(34.1787701,-118.8582223)  02/23/2017
[u'job', u'Watsonville', u'OfficeTeam', u'CustomerService', u'Hiring']point(36.910231,-121.7568946)  02/23/2017
[]point(34.11,-118.35)  02/23/2017
[]point(42.9396,-88.0436)  02/23/2017
[]point(38.24879,-85.75748)  02/23/2017
[u'job', u'EmergencyMedicine', u'Ashland']point(42.1945758,-122.7094767)  02/23/2017
[]point(38.88952565,-77.02056079)  02/23/2017
[u'WestSide']point(29.78399,-95.46799)  02/23/2017
[u'job', u'Hospitality', u'Veterans', u'Hiring', u'CareerArc']point(33.2508084,-117.30076)  02/23/2017
[u'job', u'Engineering', u'Sunnyvale', u'Hiring']point(37.36883,-122.0363496)  02/23/2017
[]point(34.0522,-118.243)  02/23/2017
[]point(34.09581,-118.29533)  02/23/2017
[u'MuirBeach', u'BayArea', u'Traffic']point(37.86432,-122.586)  02/23/2017
[u'vegan', u'healthy', u'stawberrybanana']point(34.0522,-118.243)  02/23/2017
[]point(37.47567,-122.21316)  02/23/2017
[]point(48.14138889,-123.4375)  02/23/2017
[]point(42.1134875,-72.5583711)  02/23/2017
[u'Lee', u'job', u'cintasjobs', u'Manufacturing']point(42.3042151,-73.2481951)  02/23/2017
[]point(40.7207559,-74.0007613)  02/23/2017
[]point(35.8668058,-78.589)  02/23/2017
[]point(37.71560254,-89.21819679)  02/23/2017
[]point(32.73260679,-117.19891349)  02/23/2017
[u'badfinger', u'peteham', u'dayafterday', u'uke', u'ukelele', u'ukulelecover', u'lookingout']point(42.0891,-71.4069)  02/23/2017
[]point(32.78703043,-96.79552829)  02/23/2017
[]point(49.29155805,-123.13534169)  02/23/2017
[u'GrandCentralParkway']point(40.771499,-73.875701)  02/23/2017
[u'MainLine']point(40.998008,-74.113098)  02/23/2017
[u'PortLine']point(40.995771,-74.109075)  02/23/2017
[u'RogerOtsegoSoftballAssociation']point(45.21234266,-93.54500852)  02/23/2017
[u'foodies', u'chicago', u'foodporn', u'foodlover', u'eeeeeats']point(41.92153952,-87.65315594)  02/23/2017
[u'JervisLine']point(40.995771,-74.109075)  02/23/2017
[u'MainLine']point(40.998008,-74.113098)  02/23/2017
[u'GrandCentralParkway']point(40.771499,-73.875701)  02/23/2017
[u'arnoldclassic2017']point(40.09288147,-82.98658875)  02/23/2017
[u'PortLine']point(40.995771,-74.109075)  02/23/2017
[u'JervisLine']point(40.995771,-74.109075)  02/23/2017
[u'chickenandwaffles']point(34.92833333,-80.74472222)  02/23/2017
[]point(41.46433223,-71.35759846)  02/23/2017
[u'priceless']point(32.8854,-80.0169)  02/23/2017
[u'introtopainting', u'artjamzacademy', u'fun', u'paintandsip', u'art']point(38.8557091,-77.0499845)  02/23/2017
[]point(34.040448,-118.463344)  02/23/2017
[]point(41.9549,-87.6494)  02/23/2017
[u'atp', u'agilitytrainerpro']point(40.66542,-73.49769)  02/23/2017
[u'job', u'SONIC', u'Hospitality', u'LasVegas', u'Hiring', u'CareerArc']point(36.1589168,-115.0493082)  02/23/2017
[u'hiring', u'job', u'Retail', u'Sacramento', u'CareerArc']point(38.5963157,-121.4399041)  02/23/2017
[u'bonniebrae']point(39.70222605,-104.9595212)  02/23/2017
[u'job', u'Database', u'SealBeach', u'Hiring', u'CareerArc']point(33.7535679,-118.0830047)  02/23/2017
[u'job', u'Reno', u'Retail', u'Hiring', u'CareerArc']point(39.5296329,-119.8138027)  02/23/2017
[u'notdrinking']point(27.959494,-82.532874)  02/23/2017
[]point(35.3471629,-81.5455841)  02/23/2017
[u'job', u'Fremont']point(37.5042267,-121.9643745)  02/23/2017
[u'ChulaVista', u'job', u'Hiring', u'CareerArc']point(32.6400541,-117.0841955)  02/23/2017
[]point(27.28529019,-82.53172039)  02/23/2017
[]point(33.8382,-84.3786)  02/23/2017
[u'hiring', u'Sales']point(21.3850696,-157.9427887)  02/23/2017
[u'hiring', u'job', u'FamilyPractice', u'Vancouver']point(45.6405414,-122.6204002)  02/23/2017
[]point(33.67556,-117.8862228)  02/23/2017
[]point(33.70211914,-116.39270422)  02/23/2017
[u'applewatch']point(41.13391021,-95.88607182)  02/23/2017
[u'preworkout', u'workout', u'workingout', u'weights']point(33.6841,-117.793)  02/23/2017
[u'NewOrleans', u'amtrakvets', u'Engineering', u'Job']point(29.942227,-90.0816851)  02/23/2017
[]point(25.77355583,-80.18924067)  02/23/2017
[u'Percocet']point(28.3571,-81.4285)  02/23/2017
[]point(29.6538746,-95.52608549)  02/23/2017
[u'truth']point(42.00928236,-87.67790337)  02/23/2017
[]point(40.18111897,-74.01179957)  02/23/2017
[u'newcollection', u'style', u'shoes2go', u'shoes2gointernational', u'spain']point(36.12873405,-115.15294849)  02/23/2017
[]point(40.72853965,-74.04655055)  02/23/2017
[]point(36.63072428,-88.31211175)  02/23/2017
[u'RedRobin', u'RedRobinBurgerandSpiritsEmporium', u'redrobingourmetburgers', u'orangecreamsoda', u'WhipCream']point(40.13599126,-74.96391675)  02/23/2017
[]point(38.18683911,-83.43340949)  02/23/2017
[u'seveneighttattoo', u'blogto', u'blogger', u'blackwork', u'nowmagazine', u'igtattoo']point(43.6499405,-79.3976135)  02/23/2017
[u'job', u'Marinette', u'warehouse', u'inventory', u'Manufacturing', u'Hiring']point(45.0999849,-87.6306623)  02/23/2017
[u'LosAngeles', u'Construction', u'Job', u'Jobs', u'Hiring', u'CareerArc']point(34.0522342,-118.2436849)  02/23/2017
[u'hiring', u'ElCentro', u'Nursing', u'Job', u'Jobs']point(32.7928908,-115.5726191)  02/23/2017
[u'hiring', u'SanJose', u'Job', u'Jobs', u'CareerArc']point(37.3326639,-121.8918364)  02/23/2017
[u'SanFrancisco', u'job', u'SocialSciences', u'Veterans', u'Hiring', u'CareerArc']point(37.7749295,-122.4194155)  02/23/2017
[u'job', u'SaintMaries', u'Nursing', u'Hiring', u'CareerArc']point(47.3143541,-116.5626675)  02/23/2017
